Invoice,PO,Invoice Date,Amount,Vendor Name,Company,InvoiceType
18351394,2175227,07/04/25,576.7,Brownes,MERCY COMMUNITY SERVICES,TAX INVOICE
2274563,8600,04/04/25,210,Harvey Norman,MERCY HUMAN SERVICES LTD,TAX INVOICE
18348368,2172270,04/04/25,219.39,Brownes,MERCY HUMAN SERVICES,TAX INVOICE
18351599,2175718,07/04/25,505.87,Brownes,MERCY HUMAN SERVICES,TAX INVOICE
18352169,2175721,07/04/25,201.67,Brownes,MERCY HUMAN SERVICES,TAX INVOICE
18352176,2175949,07/04/25,379.61,Brownes,MERCY HUMAN SERVICES,TAX INVOICE
621041098,494,07/04/25,226.62,OfficeWorks,50861390,Tax Invoice
621033018,491,07/04/25,348.33,OfficeWorks,50861390,Tax Invoice
621014675,570,07/04/25,53.71,OfficeWorks,51675006,Tax Invoice
621047062,495,07/04/25,323.68,OfficeWorks,50861390,Tax Invoice
I66080861.PER,579,08/04/25,1346.23,Bidfood,MERCY HUMAN SERVICES,TAX INVOICE
I66081357.PER,578,08/04/25,2717.39,Bidfood,MERCY HUMAN SERVICES,TAX INVOICE
Y681951,553,08/04/25,14.52,Bunzl,MERCY HUMAN SERVICES LIMITED,TAX INVOICE
I66081771.PER,496,08/04/25,2198.55,Bidfood,MERCY COMMUNITY SERVICES,TAX INVOICE
I66081770.PER,493,08/04/25,2662.91,Bidfood,MERCY COMMUNITY SERVICES,TAX INVOICE
I66083891.MAL,580,08/04/25,1601.23,Bidfood,MERCY HUMAN SERVICES,TAX INVOICE
2151598,25040401,08/04/25,102.96,Nisbets,Mercy Human,TAX INVOICE
621055407,562,08/04/25,53.18,OfficeWorks,51675006,Tax Invoice
Y682914,497,09/04/25,1106.29,Bunzl,MERCY COMMUNITY SERVICES LTD,TAX INVOICE
Y683855,584,09/04/25,675,Bunzl,MERCY HUMAN SERVICES LIMITED,TAX INVOICE
Y684748,585,10/04/25,2692.56,Bunzl,MERCY HUMAN SERVICES LIMITED,TAX INVOICE
Y685114,498,10/04/25,201.19,Bunzl,MERCY COMMUNITY SERVICES LTD,TAX INVOICE
BD1759882,511,12/04/25,4173.28,JBHifi,Mercy Community Services Limited,Tax Invoice
BD1760819,511,14/04/25,3642.8,JBHifi,Mercy Community Services Limited,Tax Invoice
I103860,507,14/04/25,616,marbret TEXTILES,MERCYCARE RAC WEMBLEY,TAX INVOICE
3275875,8600,15/04/25,914.99,Harvey Norman,MERCY HUMAN SERVICES LTD,TAX INVOICE
BD1762701,511,16/04/25,303.6,JBHifi,Mercy Community Services Limited,Tax Invoice
I103307,313,04/02/25,471.9,marbret TEXTILES,MERCY HUMAN SERVICES,TAX INVOICE
I103860,507,14/04/25,616,marbret TEXTILES,MERCY COMMUNITY SERVICES,TAX INVOICE
9358491703,398,11/03/25,876.33,Seton,MERCY HUMAN,Tax Invoice
BD1772022,681,30/04/25,617,JBHifi,Mercy Human Services Limited,Tax Invoice
I103987,670,02/05/25,599.5,marbret TEXTILES,MERCY HUMAN SERVICES,TAX INVOICE
I104003,690,05/05/25,723.58,marbret TEXTILES,MERCY HUMAN SERVICES,TAX INVOICE
BD1781365,582,12/05/25,7977.75,JBHifi,Mercy Community Services Limited,Tax Invoice
